openTime,open,high,low,close,Volume,closeTime,ema_20,ema_50,ema_100,ema_200
2026/6/23 4:00,64450.6,64637.1,64326,64409.8,3634.31,2026/6/23 4:59,64454.45,64226.98,64125.39,64137.15
2026/6/23 5:00,64409.8,64461,64112.1,64291,3088.03,2026/6/23 5:59,64438.89,64229.49,64128.67,64138.68
2026/6/23 6:00,64291,64370.8,63758.3,63948.4,7545.43,2026/6/23 6:59,64392.17,64218.47,64125.1,64136.78
2026/6/23 7:00,63948.5,64030.7,63843.8,63990.2,3364.76,2026/6/23 7:59,64353.89,64209.52,64122.43,64135.33
2026/6/23 8:00,63990.1,64130,63803.2,64119.4,3891.31,2026/6/23 8:59,64331.56,64205.98,64122.37,64135.17
2026/6/23 9:00,64119.4,64242.8,63852.5,64125.2,5358.07,2026/6/23 9:59,64311.9,64202.82,64122.43,64135.07
2026/6/23 10:00,64125.1,64247.2,64005.5,64165.9,2594.76,2026/6/23 10:59,64298,64201.37,64123.29,64135.37
2026/6/23 11:00,64165.8,64172.2,63933.3,64037.3,3099.41,2026/6/23 11:59,64273.17,64194.93,64121.58,64134.4
2026/6/23 12:00,64037.2,64068,63569.2,63594.9,5712.93,2026/6/23 12:59,64208.57,64171.4,64111.15,64129.03
2026/6/23 13:00,63594.8,63707.5,63322,63372.1,8699.82,2026/6/23 13:59,64128.91,64140.06,64096.52,64121.5
2026/6/23 14:00,63372,63374.4,62532.4,62905.5,25443.26,2026/6/23 14:59,64012.39,64091.64,64072.93,64109.4
2026/6/23 15:00,62905.5,63070.1,62828,62849.2,5860.48,2026/6/23 15:59,63901.61,64042.92,64048.7,64096.86
2026/6/23 16:00,62849.3,62916.5,61870,62353.7,25191.72,2026/6/23 16:59,63754.19,63976.68,64015.14,64079.51
2026/6/23 17:00,62353.6,62482,62309,62350.2,4877.64,2026/6/23 17:59,63620.48,63912.89,63982.17,64062.31
2026/6/23 18:00,62350.3,62563.9,62207.1,62290.4,5432.76,2026/6/23 18:59,63493.81,63849.27,63948.67,64044.68
2026/6/23 19:00,62290.4,62600,62289.2,62478.5,5964.42,2026/6/23 19:59,63397.11,63795.51,63919.56,64029.09
2026/6/23 20:00,62478.4,62531.6,62157,62227.9,5881.48,2026/6/23 20:59,63285.76,63734.04,63886.06,64011.17
2026/6/23 21:00,62228,62513.4,61916.9,62446.6,15070.54,2026/6/23 21:59,63205.84,63683.55,63857.55,63995.6
2026/6/23 22:00,62446.5,62837.1,62359.2,62462.8,14169.38,2026/6/23 22:59,63135.07,63635.68,63829.94,63980.35
2026/6/23 23:00,62462.8,62480.3,62161.2,62455.8,7509.64,2026/6/23 23:59,63070.38,63589.41,63802.72,63965.18
2026/6/24 0:00,62455.9,62812.2,62393.4,62522.9,8663.06,2026/6/24 0:59,63018.24,63547.58,63777.38,63950.83
2026/6/24 1:00,62522.9,62668.7,62301.7,62330,3484.74,2026/6/24 1:59,62952.69,63499.83,63748.72,63934.7
2026/6/24 2:00,62330,62420,62075.6,62215.3,4189.5,2026/6/24 2:59,62882.46,63449.46,63718.36,63917.59
2026/6/24 3:00,62215.3,62467.2,62201.3,62365.7,2790.58,2026/6/24 3:59,62833.25,63406.96,63691.57,63902.15
2026/6/24 4:00,62365.7,62518.5,62344.2,62439.8,2217.7,2026/6/24 4:59,62795.78,63369.03,63666.78,63887.6
2026/6/24 5:00,62439.9,62629.9,62434.9,62563.1,2110.41,2026/6/24 5:59,62773.62,63337.43,63644.93,63874.42
2026/6/24 6:00,62563.1,62749.9,62488.1,62560.1,2806.83,2026/6/24 6:59,62753.28,63306.94,63623.45,63861.34
2026/6/24 7:00,62560.1,62770.6,62463.7,62696.7,1898.79,2026/6/24 7:59,62747.89,63283.01,63605.09,63849.76
2026/6/24 8:00,62696.7,62999.9,62696.7,62982.1,4509.6,2026/6/24 8:59,62770.2,63271.21,63592.76,63841.12
2026/6/24 9:00,62982.1,63090.9,62737,62904.6,3777.47,2026/6/24 9:59,62783,63256.83,63579.13,63831.8
2026/6/24 10:00,62904.6,62994.6,62572.1,62598,4358.54,2026/6/24 10:59,62765.38,63231,63559.7,63819.53
2026/6/24 11:00,62598,62804,62402.8,62704.6,5111.39,2026/6/24 11:59,62759.59,63210.36,63542.77,63808.43
2026/6/24 12:00,62704.6,62779.9,62500,62720.6,2797.02,2026/6/24 12:59,62755.88,63191.15,63526.49,63797.61
2026/6/24 13:00,62720.7,63053.5,62678,62859.9,3935.3,2026/6/24 13:59,62765.78,63178.16,63513.29,63788.28
2026/6/24 14:00,62859.8,62888,62700,62754.6,1940.62,2026/6/24 14:59,62764.72,63161.55,63498.27,63777.99
2026/6/24 15:00,62754.7,62822,62570.8,62630.3,3406.24,2026/6/24 15:59,62751.92,63140.72,63481.08,63766.57
2026/6/24 16:00,62630.4,62786.2,62574,62773,2748.79,2026/6/24 16:59,62753.93,63126.3,63467.06,63756.69
2026/6/24 17:00,62773,62773,62608.6,62650.2,1488.17,2026/6/24 17:59,62744.05,63107.62,63450.88,63745.68
2026/6/24 18:00,62650.2,62657.8,62365.4,62416.8,4330.74,2026/6/24 18:59,62712.88,63080.53,63430.41,63732.46
2026/6/24 19:00,62416.9,63209.6,62272.1,62887.7,11430.75,2026/6/24 19:59,62729.53,63072.97,63419.66,63724.05
2026/6/24 20:00,62887.8,62939.3,62543.4,62589.5,5404.98,2026/6/24 20:59,62716.19,63054.01,63403.22,63712.76
2026/6/24 21:00,62589.5,62604,61220.7,61308.2,35472.77,2026/6/24 21:59,62582.1,62985.55,63361.73,63688.83
2026/6/24 22:00,61308.2,61434.5,60866,61085.3,24983.87,2026/6/24 22:59,62439.55,62911.03,63316.66,63662.93
2026/6/24 23:00,61085.3,61128.9,60238,60254.9,24553,2026/6/24 23:59,62231.49,62806.87,63256.03,63629.02
2026/6/25 0:00,60254.9,60649.1,59260,59808.2,37783.56,2026/6/25 0:59,62000.7,62689.27,63187.75,63591
2026/6/25 1:00,59808.3,60025.2,59060,59363.7,33548.45,2026/6/25 1:59,61749.55,62558.86,63112.03,63548.94
2026/6/25 2:00,59363.6,59895.3,59269.4,59569.5,16224.69,2026/6/25 2:59,61541.93,62441.63,63041.88,63509.34
2026/6/25 3:00,59569.5,59973.3,59484.7,59923.8,7889.57,2026/6/25 3:59,61387.82,62342.89,62980.14,63473.66
2026/6/25 4:00,59923.7,61188,59813.9,60926.5,26953.65,2026/6/25 4:59,61343.89,62287.34,62939.47,63448.32
2026/6/25 5:00,60926.5,61115.2,60633.1,61073.6,6808.64,2026/6/25 5:59,61318.14,62239.75,62902.52,63424.69
2026/6/25 6:00,61073.6,61256,60752.8,60850.2,5756.51,2026/6/25 6:59,61273.58,62185.26,62861.88,63399.07
2026/6/25 7:00,60850.3,61086.3,60799.9,61051.2,2882.99,2026/6/25 7:59,61252.4,62140.78,62826.03,63375.71
2026/6/25 8:00,61051.2,61138.9,60666,60786.9,5410.75,2026/6/25 8:59,61208.07,62087.69,62785.65,63349.95
2026/6/25 9:00,60786.9,60960.5,60686.8,60892.9,3603.82,2026/6/25 9:59,61178.05,62040.83,62748.17,63325.5
2026/6/25 10:00,60892.9,60939,60660,60763.2,4314.46,2026/6/25 10:59,61138.54,61990.73,62708.86,63300.01
2026/6/25 11:00,60763.3,60877.7,60648,60853.9,3048.14,2026/6/25 11:59,61111.43,61946.15,62672.13,63275.67
2026/6/25 12:00,60854,61389,60756.4,61323.2,6224.55,2026/6/25 12:59,61131.6,61921.72,62645.42,63256.24
2026/6/25 13:00,61323.3,61800,61241.9,61567.1,13551.64,2026/6/25 13:59,61173.08,61907.81,62624.07,63239.43
2026/6/25 14:00,61567.1,61829.1,61567.1,61693.5,4754.26,2026/6/25 14:59,61222.64,61899.41,62605.64,63224.05
2026/6/25 15:00,61693.5,61931.1,61632.2,61886.7,6467.03,2026/6/25 15:59,61285.88,61898.91,62591.4,63210.74
2026/6/25 16:00,61886.8,61897.6,61653,61686.4,5343.99,2026/6/25 16:59,61324.03,61890.58,62573.48,63195.58
2026/6/25 17:00,61686.5,61764.9,61578.4,61707.8,3667.26,2026/6/25 17:59,61360.58,61883.41,62556.34,63180.77
2026/6/25 18:00,61707.9,61727.9,61228.4,61245.3,7304.19,2026/6/25 18:59,61349.6,61858.39,62530.38,63161.51
2026/6/25 19:00,61245.4,61395.3,61033.5,61258.2,11773.25,2026/6/25 19:59,61340.89,61834.85,62505.19,63142.58
2026/6/25 20:00,61258.2,61742.9,61048.5,61216.4,12542.99,2026/6/25 20:59,61329.04,61810.6,62479.67,63123.41
2026/6/25 21:00,61216.4,61346.4,58030,58248.4,65568.38,2026/6/25 21:59,61035.64,61670.9,62395.88,63074.9
2026/6/25 22:00,58248.4,60466.9,58248.4,59448.7,68127.99,2026/6/25 22:59,60884.51,61583.76,62337.52,63038.82
2026/6/25 23:00,59448.7,59630.2,58835.2,59536.2,20883.36,2026/6/25 23:59,60756.1,61503.46,62282.05,63003.97
2026/6/26 0:00,59536.2,60035.7,59130,59284,13732.67,2026/6/26 0:59,60615.9,61416.42,62222.68,62966.95
2026/6/26 1:00,59284.1,59720,59114.4,59656.3,7827.95,2026/6/26 1:59,60524.51,61347.4,62171.86,62934.01
2026/6/26 2:00,59656.3,59775,59333,59491,7260.28,2026/6/26 2:59,60426.08,61274.6,62118.77,62899.75
2026/6/26 3:00,59491.2,59496.6,59152.7,59299.8,7110.98,2026/6/26 3:59,60318.81,61197.16,62062.95,62863.93
2026/6/26 4:00,59299.9,59723.5,59298.7,59428.8,6367.18,2026/6/26 4:59,60234.05,61127.81,62010.79,62829.75
2026/6/26 5:00,59428.9,60245,59422.7,60180.7,6267.02,2026/6/26 5:59,60228.97,61090.67,61974.55,62803.39
2026/6/26 6:00,60180.7,60180.8,59705.4,59815.1,6099.12,2026/6/26 6:59,60189.55,61040.64,61931.79,62773.66
2026/6/26 7:00,59815.1,60164.3,59709.1,59771.9,4578.9,2026/6/26 7:59,60149.78,60990.89,61889.02,62743.79
2026/6/26 8:00,59772,59882.2,59608.1,59638.2,3871.12,2026/6/26 8:59,60101.05,60937.84,61844.45,62712.89
2026/6/26 9:00,59638.2,59761.3,59200,59413,6344.27,2026/6/26 9:59,60035.53,60878.05,61796.3,62680.06
2026/6/26 10:00,59413.1,59432.3,58325.6,58536,24980.28,2026/6/26 10:59,59892.71,60786.2,61731.74,62638.82
2026/6/26 11:00,58536,60125.7,58288,60015,26425.37,2026/6/26 11:59,59904.36,60755.96,61697.75,62612.71
2026/6/26 12:00,60015,60234.8,59802.3,59899.9,8739.82,2026/6/26 12:59,59903.94,60722.39,61662.15,62585.72
2026/6/26 13:00,59899.9,60039.1,59703.1,59921.8,5871.33,2026/6/26 13:59,59905.64,60690.99,61627.68,62559.21
2026/6/26 14:00,59921.9,60440,59666.2,60298.9,10771.23,2026/6/26 14:59,59943.09,60675.61,61601.37,62536.72
2026/6/26 15:00,60298.9,60734,60252.6,60491,14629.56,2026/6/26 15:59,59995.27,60668.37,61579.38,62516.37
2026/6/26 16:00,60491,60542.6,60112,60215.3,7945.37,2026/6/26 16:59,60016.23,60650.61,61552.37,62493.47
2026/6/26 17:00,60215.3,60229.8,59544.7,59709.3,10679.17,2026/6/26 17:59,59987,60613.69,61515.88,62465.77
2026/6/26 18:00,59709.3,59834.2,59210.4,59290,10744.71,2026/6/26 18:59,59920.62,60561.78,61471.8,62434.17
2026/6/26 19:00,59290,59569,59233.1,59392.4,6798.89,2026/6/26 19:59,59870.31,60515.93,61430.62,62403.9
2026/6/26 20:00,59392.4,59998.4,58940,59167.6,23971.56,2026/6/26 20:59,59803.38,60463.05,61385.81,62371.7
2026/6/26 21:00,59167.6,60189.5,58388,60153.3,35902.97,2026/6/26 21:59,59836.71,60450.9,61361.4,62349.63
2026/6/26 22:00,60153.5,60274.2,59358.8,59568.9,21091.08,2026/6/26 22:59,59811.2,60416.31,61325.91,62321.96
2026/6/26 23:00,59568.9,60494.1,59560,60296.6,16399.6,2026/6/26 23:59,59857.43,60411.62,61305.53,62301.8
2026/6/27 0:00,60296.9,60580,59933.1,60017.8,13029.5,2026/6/27 0:59,59872.71,60396.18,61280.03,62279.08
2026/6/27 1:00,60017.8,60276.5,59921.4,60000,6949.55,2026/6/27 1:59,59884.83,60380.64,61254.68,62256.4
2026/6/27 2:00,60000,60140.7,59530.7,59648.9,5774.53,2026/6/27 2:59,59862.36,60351.94,61222.88,62230.46
2026/6/27 3:00,59648.9,60077.8,59586.3,59719.7,7106.06,2026/6/27 3:59,59848.77,60327.15,61193.12,62205.47
2026/6/27 4:00,59719.9,59970,59556,59694.7,4861.16,2026/6/27 4:59,59834.1,60302.35,61163.44,62180.49
2026/6/27 5:00,59694.7,60028,59649.2,59887.6,2664.98,2026/6/27 5:59,59839.19,60286.08,61138.18,62157.68
2026/6/27 6:00,59887.6,60051,59717.1,60007.5,3088.68,2026/6/27 6:59,59855.22,60275.16,61115.79,62136.28
2026/6/27 7:00,60007.6,60090.8,59871.9,60072,3454.4,2026/6/27 7:59,59875.87,60267.19,61095.12,62115.74
